urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-86-174276-11370251-post1__2	یو بی ایل گراؤنڈ پر شاہد آفریدی میچ کھیلنے کے بعد جیسے ہی ڈرائنگ روم سے باہر آئے تو شائقین کی بڑی تعداد ان کے گرد جمع ہوگئی،	at Ubl ground when Shahif Afridi go out from drawing room after finished match so many spectator gathered around him.	In UBL ground Shahid Afride after match playing when came from drying room then many wanters gathered.	When Shahid Affridi came out of the drawing room after playing the match on the UBL ground then a big number of fans gathered him.	At UPL ground after playing the match when Shahid Afreedi came out of the drawing room fans surrounded him.	-187.421	-184.196	-162.378	-149.243	-187.908	-185.235	-164.277	-150.882
urd-wl-86-174276-11370251-post1__3	ایک موقع پر ایک تماشائی نے ہاتھ پکڑ کرکے اپنے ساتھ تصویر کھنچوانے کی درخواست کی جس پر شاہد آفریدی نے اسے ہٹاتے ہوئے کہا یہ تصویر کل لے لینا،تاہم تماشائی کے اصرار پر آفریدی نے تیش میں آکر اسے تھپڑ رسید کردیئے اس سے قبل کہ وہ آپس میں گتھم گتھا ہوتے وہاں موجود افراد نے معاملہ رفع دفع کرایا۔	on one time one spectator request him by holding his hand to take a snap with him on that Shahid Afridi neglect him and siad that take snap tomorrow, although due to spectator insist Shahid Afridi gets angry and give him slept before they start fighting people resolve this matter.	TdOnce when a visitor said him to take picture with him he postponed it but the visitor didnot accept it then Afride bate him by hand and by the people there this matter was closed.	On one situation a fan held the hand and asked to take a photo with him on which Shahid Affridi removing his hand said that he can take the photo tomorrow but on fan's insistence Affridi became angry and slapped him, before they start a quarrel the gathering people just dismissed the matter there itself.	At one moment of the spectator pulled hand of Shahih Afredi and requested for a snap for which shahid afreedi pushed him and asked to take it later, for the force of spectator shahid afreedi got angry and slapped him before the situation gets worse people there sought out the problem	-292.905	-258.652	-331.522	-351.937	-292.35	-258.551	-334.367	-355.437
urd-wl-86-174276-11370251-post1__4	جس کے بعد شاہد آفریدی نے کہا کہ اسے خوامخواہ ایشو بنایا جارہا ہے اس وقت مجھے نماز کی جلدی تھی،	after that Shahid Afridi said that mde him issue with out any reason, at that time he was hurry for prayer.	After it Afride said it is being made issue for no reason but I was in hurry by Prayer.	After that Shahid Affridi said that without any reason he was made an issue therefore at that time he was in a hurry to attend the Prayer.	Shahid Afreedi then said people are just making this just an issue i was in a hurry for prayer,	-144.861	-91.0653	-110.213	-99.797	-142.827	-93.823	-108.366	-99.2361
urd-wl-86-174276-11370251-post1__5	بہرحال میں اس تماشائی سے معذرت کرلوں گا،	Anyway Ill excuse myself from taking part in these antiques.	nevertheless I shall apologize to that spectator.	Any way, I beg pardon for this drama.	Anyways i will patch up with this spectator.	-71.1054	-60.4729	-28.561	-66.6556	-69.7189	-60.2311	-29.2366	-67.3734
urd-wl-86-174276-11370251-post1__6	شاہد آفریدی کے اس رویہ پر آپ کیا کہیں گے۔	What would you say about the behavior of Shahid Afridi?	what would you say on this behavior of Shahid Afridi.	What do you say about Shahid Afridi's actions?	What would you say about behavior of shahid afreedi.	-104.09	-104.518	-65.3228	-102.936	-102.55	-103.535	-64.0614	-101.489
urd-wl-86-174276-11370251-post1__7	ہمیں اپنی رائے سے آگاہ کریں۔	Do let us know about your opinion.	Let us know of your opinion.	Let us know about your opinion.	gives us your suggestion.	-19.0157	-13.5661	-13.3896	-12.1865	-19.2945	-11.3589	-12.7924	-13.0031
urd-wl-86-174276-11370252-post1__1	بھارتی وزیراعظم من موہن سنگھ نے ایک مرتبہ پھر الزام عائدکیا ہے کہ پاکستان جنگ کے ماحول کو ہوا دے رہا ہے	The Indian President Manmohan Singh has again accused Pakistan of hyping the talk of war.	The Indian prime minister Manmohan Singh has once again accused Pakistan of provoking for a war.	Manmohan Singh once again accused Pakistan of creating a war-like atmosphere.	Manmohan Singh, the Indian Prime Minister have allegedly said that this environment is by Pakistan	-159.729	-120.717	-149.092	-117.84	-159.793	-120.693	-149.339	-118.138
urd-wl-86-174276-11370252-post1__2	اور پاکستان دہشت گردی کو ریاستی پالیسی کے طور پر استعمال کرتا ہے۔	And that Pakistan uses terrorism as its state policy.	And Pakistan is using terrorism as a state policy.	and that Pakistan is using terrorism as a policy of state.	Terrorism and state policy of Pkistan	-29.1702	-22.2433	-25.7973	-55.0576	-28.3215	-22.4185	-24.2533	-56.2606
urd-wl-86-174276-11370252-post1__3	نئی دہلی میں وزرائے اعلیٰ کانفرنس سے خطاب کرتے ہوئے من موہن سنگھ کا کہنا تھا کہ دہشت گردعناصرکی ہمسایہ ممالک خصوصاً پاکستان سے پشت پناہی کی جاتی ہے	While deliberating to the Chief Ministers Manmohan Singh stated that terrorist elements were being housed in neighboring countries such as Pakistan.	while addressing a Chief Ministers conference in new Delhi, Manmohan Singh said that the terrorist elements are backed by neighboring countries specially Pakistan.	Speaking to a meeting of the cabinet of ministers, Manmohan Singh said that terrorist factions are being supported by neighbouring countries, especially Pakistan.	Manmohan singh, when addressing in the Chief Minister's conference in New Delhi, said that the Pakistan is supported by the neighbouring countries	-178.519	-182.913	-133.192	-134.179	-179.172	-180.709	-133.657	-132.318
urd-wl-86-174276-11370252-post1__4	اور ممبئی حملوں کے دہشت گردوں نے بحری راستہ اختیار کیا اور بھارتی کوسٹ گارڈ ز سے محفوظ رہے۔	And that during the Mumbai attacks the terrorists used the sea route and managed to elude the coast guard.	and the terrorists of the Mumbai attacks used the pelagic route and were safe from the Indian coast guards.	And that the terrorists who attacked Mumbai used the sea way and remained safe from the coastal guard.	After Mumbai attack by the terrorist, the naval path and the Indian coasts are made safe.	-65.6723	-66.1983	-58.3874	-54.7957	-67.476	-67.1495	-59.6828	-55.8781
urd-wl-86-174276-11370252-post1__5	بھارتی وزیراعظم نے کہا کہ نومبر میں ممبئی حملے لشکر طیبہ نے کیے۔	The Indian president stated that the Mumbai attacks were carried out by the Lashkar-e-Tayyebah.	Indian prime minister said that the November attacks were carried out by Lashkare Taiba.	The Indian Prime Minister said that the Mumbai attacks of November were carried out by Lashkar-e-Taiba.	Prime minister of India said that the November attach in Mumbai was by Lashkae-e-Taiba.	-76.3369	-110.618	-78.4115	-80.392	-75.8223	-110.6	-79.0742	-81.0881
urd-wl-86-174276-11370252-post1__6	انہوں نے مزید کہا کہ دہشت گرد نئی تکنیک اور جدید ترین مواصلاتی نظام استعمال کررہے ہیں،ہمیں لائن آف کنٹرول پر بھی سختی بڑھانا ہوگی جہاں سے دراندازی ہوتی ہے ان کا کہنا تھا کہ دہشت گردی کسی صورت برداشت نہیں کی جائے گی اور یہی ہماری پالیسی ہے۔	He continued that the terrorists were using new techniques and advanced equipment and that the security on the line of control should also be increased so that infiltration of these things could be stopped, he also stated that terrorism shall never be tolerated by the Indian government and that was their policy.	he added that the terrorists are using modern techniques and the latest communication systems. We'll have to be more rigorous over the line of control where in the intrusion takes place. He said that terrorism will not be spared in any case and this is our policy.	He said that the terrorists were using new techniques and modern communication systems. We will have to step up the forces at the line of control as well, from where there is infiltration. He said that terrorism will not be accepted in any form, and this is our policy.	The policy is that the Modern communication systems and the new techniques used in Line of control will increase the infiltration of terrorism .	-125.172	-119.339	-144.253	-53.5044	-124.843	-112.258	-138.23	-54.9808
urd-wl-86-174276-11370252-post1__7	بھارتی وزیر اعظم کے اس الزام کو آپ کس طرح دیکھتے ہیں؟	In what light do you see these accusations made by the Indian President?	how do you see this allegation from the Indian prime minister?	How do you see this accusation of the Indian Prime Minister?	How will the Indian Prime Minister see this allegation?	-35.6079	-29.0615	-26.2879	-60.9397	-34.95	-26.9514	-24.7864	-59.6263
urd-wl-86-174276-11370252-post1__8	کیابھارت کا اندرونی خلفشار اورعلیحدگی پسند تحریکیں بھارتی اضطراب کا مظہر تونہیں ہے؟	Is the internal chaos and separation movements of India not the show of India's anxiety?	Does the internal Political war, and individualism shows the India is in trouble?	Do the internally opposed and separatist movements of India show the disturbed situation n India?	This marks the anxiety of the Mazhar facets	-53.4838	-78.0342	-95.0668	-61.7593	-53.0795	-79.3382	-95.3213	-61.4532
urd-wl-86-174276-11370252-post1__9	بھارت کس کے اشاروں پر دھمکی آمیز رویہ اختیار کئے ہوئے ہے؟	On whose signals is India has chosen to be in threatening attitude?	On what basis India has warning others?	On whose orders is India taking this warning stance?	How does the attitude of India towards threatening?	-40.0129	-27.3456	-71.4437	-60.4963	-42.1627	-26.0943	-72.8171	-59.5426
urd-wl-86-174276-11370252-post1__10	اپنی رائے سے آگاہ کریں۔	Let us know of your opinion	please provide us your suggestions	Give us your views.	Regarding this choice.	-15.0092	-17.7168	-11.5758	-10.3857	-13.2785	-19.387	-9.72351	-11.0836
urd-wl-86-174276-11370253-post10__1	-زبیر خان، کراچی۔	Zubeer Khan, Karachi	Zubair Khan, Karachi	Zubair Khan, Karachi	Zubair Khan, Karachi	-90.2296	-90.2296	-90.2296	-90.2296	-90.2296	-90.2296	-90.2296	-90.2296
urd-wl-86-174276-11370253-post10__2	یہ بہت دردناک سانحہ ہے کہ اسرائیلی فلسطینیوں کا قتل عام کر رہے ہیں ادھر کشمیر بھی یہی صورتحال ہے لیکن سالمتی کونسل کے سر پہ جوں تک نہیں ریگتی ہے۔	This is very hurtful incident that Israel is publicly massacring the Palestinians, same situation is here in Kashmir but Security Council do not even bother by it.	This is the most dangerous situation where Isreal kills Palestinians, on the other hand the same in Kashmir also, it was not noted by any peace councils, and not even responding for this	This is a sad calamity that Israeli is massacring the Palestinians and the same situation is prevalent in Kashmir, but there is no effect on the Security Council.	It is extremely sad that the Israelis are openly killing Palestinians. Over here, Kashmir is in the same situation but the Peace Council does not even turn a ear over it.	-76.1357	-125.89	-67.764	-86.3616	-78.2625	-124.141	-65.1999	-87.3374
urd-wl-86-174276-11370253-post10__3	جتنی بھی تنظیمیں جو فلسطین اور کشمیر میں موجود ہیں انہیں چاہیئے کہ اپنی آزادی تک جنگ جاری رکھین اور ان میں اتھاد پیدا کرتے ہوئے ہر قسم کی جارحیت کا مقابلہ کرتے رہیں ایک نہ ایک دن ان کی شہادت رنگ لائے گی انشاءاللہ	As many organizations who are in Palestine and Kashmir should continue their fight till freedom and by creating unity between themselves keep fighting every kind of aggression, one of these days their Martyr will bring result. By the will of Allah	The Associations in Kashmir and Palestian, ther have to fight for their freedom, and they to be united and strrugle to all dangerous situations. definitely one day their struggle will give you a good result. Insha Allah	All the organisations present in Palestine and Kashmir should keep their war going until they gain independence, and they should form unity among themselves and keep facing any type of harm, and one day or the other their martyrdom will give fruit, God Willing.	All the groups that are in Kashmir and Palestine, should keep the war going for freedom, and unitedly fight any force that opposes them. One day their martyrdom will bear fruit, God willing.	-161.734	-253.66	-137.144	-144.379	-162.151	-247.935	-138.508	-143.149
urd-wl-86-174276-11370253-post1__1	غزہ پر اسرائیلی فضائی حملے بدستور جاری ہیں، اب تک سینکڑوں فلسطینی مرد، خواتین اور بچے شہید ہوچکے ہیں۔	Israeli air attacks still continues in Gaza, since now several Palestinian Men, Women and children have been martyred.	on Ghazwa, they air force of Isreals are attacking on palestain, today also. till this more than lakhs people are died.	The air attacks by Israel on Gaza are continuing, just the same. Until now, hundreds of Palestinian men, women and children have been martyred.	Israeli air attacks are still continued on Gaza, hundreds of Palestinian men, women and children have been martyred.	-96.5095	-218.718	-105.36	-91.2935	-92.9766	-220.422	-100.807	-88.8169
urd-wl-86-174276-11370253-post1__2	حماس کے اہم سیاسی رہنمانظاریان کو بیوی بچوں سمیت شہید کردیا گیا ہے۔	Important political leader of Hamas Nazarian have been martyred with wife and kids.	The important Political Person of HAMAS Nazariyan has killed along with his family.	Important Hamas leader Nazariyan was killed along with hwife and children.	The important leader of Hamas Nazaar Rayyan and family has been martyred.	-114.171	-74.6799	-112.55	-144.927	-115.401	-74.5104	-113.031	-145.813
urd-wl-86-174276-11370253-post1__3	ادھر سلامتی کونسل کا اجلاس بغیر کسی فیصلے کے ختم ہوگیا ہے۔	There meeting of Security Council ended without any decision.	the other side the functions of peace councils got closed, without any conclusion	Here the Security Council meeting concluded without any decision.	The Security Council session ended without any decision.	-23.3966	-42.3725	-23.5955	-21.624	-25.5789	-42.62	-23.2852	-22.0395
urd-wl-86-174276-11370253-post1__4	اجلاس میں اسرائیل کے خلاف لیبیا اور دیگر عرب ممالک کی جانب سے پیش کردہ مذمتی قرارداد کو امریکی مخالفت کا سامنا ہے۔	The condemning resolution presented by Libia and other Arab countries against Israel is facing American opposition in the meeting.	The conference was conducted against Isreal by Libya and other gulf countries, and the report was submitted to America	The meeting saw American opposition to the derogatory resolutions passed against Israel by Libya and other Arab countries.	America has opposed the censure resolution against Israel submitted by Lebia and other Arab countries in the session.	-89.1827	-89.7428	-55.3848	-89.6235	-89.0297	-91.0669	-54.2054	-89.2969
urd-wl-86-174276-11370253-post1__5	فلسطینی شہری آبادی پرگزشتہ کئی روزسے اسرائیلی طیاروں کی بمباری جاری ہے۔	The civilian population of Philistine is under attack by the Israeli Air force for last many days.	From the last few days there has been bombing by Israeli planes on the Palestinian civilian population.	Israel's jet planes have been bombarding on the residential areas of Palestine for last many days.	Israeli airplanes bombardment is continued since many days on Palestinian civil population.	-80.6603	-39.977	-57.8608	-81.6045	-81.5988	-39.333	-58.8602	-82.3198
urd-wl-86-174276-11370253-post1__6	ممبئی کے واقعات پر ساری دنیا چیخ اٹھی تھی لیکن اسرائیلی حملوں پر امریکا، برطانیہ سمیت کسی کو یہ قتل عام نظر نہیں آرہا؟	The world showed strong reaction over Mumbai attacks but no one, including Great Britain and US is reacting over the violence of Israel.	The whole world cried out about the Mumbai issue, but the Israeli attacks do not seem a massacre to anyone including America and Britain.	Every country around the world began to protest against the Mumbai attacks but can't anyone see this brutality including America and Britain?	The whole world reacted on Mumbai attacks but no country including America and England can see bloodshed caused by Israeli attacks.	-72.2834	-70.3552	-77.7602	-71.1679	-71.3836	-71.8131	-76.8908	-71.8269
urd-wl-86-174276-11370253-post1__7	امت مسلمہ کے اہم ممالک کیوں خاموش ہیں؟	Why the leading Muslim countries are silent?	Why are the important Islamic countries quiet?	Why are the major Muslim countries quiet?	Why the major countries of Muslim world are silent?	-23.5289	-58.5623	-58.1394	-26.7076	-26.2114	-58.2731	-56.9598	-30.2412
urd-wl-86-174276-11370253-post1__8	دنیا کے اس دوہرے معیار پر آپ کیا کہنا چاہیں گے۔	What would you say on world's double standard?	What do you want to say about this double standard of the world?	What is your opinion on these double standards of the world.	What will you wish to say on this double standard of the world.	-23.7586	-27.5511	-20.6579	-27.1941	-23.1529	-26.2908	-17.7273	-26.8346
urd-wl-86-174276-11370254-post12__1	-سعید، نیو یارک۔	Saeed, New York.	Saeed, New York	Saeed, New York.	Saeed, New York	-46.7745	-47.9795	-46.7745	-47.9795	-46.7745	-47.9825	-46.7745	-47.9825
urd-wl-86-174276-11370254-post12__2	میرے خیال میں،اصل بات یہ ہے کہ ہماری زیادہ تر قوم ان پڑھ ہے انہیں معلوم ہی نہیں کہ ان کا پیسہ کہاں جا رہا ہے حکومت ٹیکس لگا کر اپنی ذمہ داریاں پوری کرنے میں دلچسپی رکھتی ہے بجلی اور گیس کا بحران یونہی رہے گا۔	I think the problem lies in the illiteracy of our nation. People do not know how their money is spent. Govt. is solving its problems by introducing new taxes. Power and Gas crisis will remain unsolved	I think that actually, most of our people are illiterate. They do not know where their money is going. The government fixes taxes and likes to fulfill its duties, the electricity and gas crisis will not be like this.	In my opinion, the basic fact is that most of our people are uneducated and they don't even know where their money is actually going. Government is interested in doing it's job properly by applying and collecting taxes. Shortfall of electricity and gas will continue in the same manner.	I think the actual point that the majority of our nation in illetrate. They even dont know where their money is going to. Government is interested in applying taxes and fullfil their duties. Electricity and Gas shortage will remain same.	-140.045	-107.161	-134.055	-221.351	-132.01	-97.8197	-127.233	-213.996
urd-wl-86-174276-11370254-post12__3	کیونکہ عوام نے جنہیں منتخب کیا ہے ان کے کردار سے سب واقف ہیں،	Every body knows the real faces of people's elected representatives.	Because everyone knows the role of those selected by the people.	Because everyone knows about the character of those who have been elected by our own nation.	Because who are elected by public are very well known	-32.423	-25.1445	-31.3087	-25.5404	-31.7069	-24.3934	-31.3407	-26.7004
urd-wl-86-174276-11370254-post1__1	پاکستان کے طول و عرض میں بجلی اور گیس کا بحران سنگیں صورت اختیار کرگیا ہے	Power crisis has become worst in Pakistan.	The electricity and gas crisis across Pakistan has taken a serious position.	Crisis of electricity and gas all over Pakistan has become a critical state.	The crisis of electricity and gas has worsen in whole of the Pakistan	-23.6392	-34.6646	-35.9858	-36.9977	-23.9092	-32.292	-34.5095	-34.7496
urd-wl-86-174276-11370254-post1__2	،دوسری طرف یکم جنوری سے گیس کے نرخوں میں اوسطاً8اضافہ کردیا گیاہے جبکہ ملک کے بعض شہروں میں پٹرول کی عدم دستیابی عوام کیلئے شدید پریشانی کا باعث بنی ہوئی ہے۔	On the other hand price of Gas has been increased by 18%. While due to unavailability of petrol, people are facing sever difficulties.	On the other side, there was an increase of an average of 18% in gas rates, while the unavailability of petrol in some cities has become a cause of great difficulty for the public.	On the other hand the GAS tariff has been raised to 8% where as in some cities due to the non availability of the petrol is increasing the difficulties and miseries of the masses.	, on the other hand gas prices have been raised by average 8, while in few cities unavailability of petrol created immense worry for people.	-73.9079	-83.489	-96.185	-82.6226	-72.0438	-79.9394	-96.3002	-82.7711
urd-wl-86-174276-11370254-post1__3	پاکستان کے صنعتی اور کاروباری حلقوں میں بجلی کی طویل بندش اور گیس کے بحران پر شدید رد عمل، ہنگامے اور پر تشدد مظاہرے جاری ہیں،	The business and industrial communities of Pakistan are violently protesting against power and Gas crisis.	Among the manufacturing and business circles, there are strong protests and severe reactions going on, to the long power cut and gas crisis.	Due to the long load shedding of electricity and gas crisis in Pakistan's industrial and business sector, there is a severe reaction. Riots and violent protests are taking place.	Intense reactions, riots and torturous demonstration are continued in the industrial and business circles of Pakistan against the crisis of electricity and gas.	-46.2641	-72.7672	-88.7378	-108.707	-47.9743	-74.0116	-87.1035	-105.809
urd-wl-86-174276-11370254-post1__4	صنعتکاروں نے فیکٹریاں بند کرنے کا الٹی میٹم دیدیا ہے۔	The producers have given the ultimatum to close the factories.	Industrialist have given an ultimatum before closing the factories.	Industry holders gave ultimatem to stop mills.	Industrialists have threatened a shutdown ultimatum.	-27.9146	-34.5431	-67.5143	-32.1047	-28.6543	-34.8014	-67.8312	-32.1047
urd-wl-86-174276-11370254-post1__5	ادھر کراچی میں آٹھ سے دس گھنٹے کی لوڈ شیڈنگ سے شہریوں میں اضطراب پایا جاتا ہے۔	Here in Karachi, the public is perturbed over the 8-10 hour load shedding.	Here there is growing anxiety among those dwelling in Karachi because of eight to ten hours electricity load shedding	Here there is unbelivable situation in cities by the load shedding of light in Karachi from 8 to 10 hours.	In Karachi people are worried due to 8 to 10 hours load shedding.	-52.2865	-103.075	-136.489	-84.659	-53.5092	-102.097	-133.659	-82.3947
urd-wl-86-174276-11370254-post1__6	صنعتی زندگی تقریباً مفلوج ہو کر رہ گئی ہے۔	The production life cycle has become practically paralyzed.	Industrial activities have almost paralyzed.	The industrial became aproximatly hand less and feet less.	Industrial sector is almost paralyzed.	-60.7386	-54.9026	-72.2606	-52.6422	-62.053	-55.2532	-73.3187	-53.0787
urd-wl-86-174276-11370254-post1__7	حکومتی ادارے اس سلسلے میں ایک دوسرے پر الزامات لگا کر اپنا موقف بیان کر رہے ہیں۔	The government institutions are blaming each other to express their stand.	Government department are playing a blame game on each other	Government institutes are showing their openions by blaming one another.	Government Institutions are expressing their opinion by blaming each other.	-32.6859	-36.1027	-72.5256	-31.4757	-32.0387	-36.8043	-72.109	-32.0093
urd-wl-86-174276-11370254-post1__8	بجلی اور گیس کی قیمتیں بڑھانے کی باتیں قوم کے ساتھ مذاق نہیں ہے؟	Are the talks of increasing the prices of electricity and gas not a joke against the nation?	isn't under these circumstance the proposals for increasing electricity and gas tariff a joke with the people?	Talks with nation of increase the prices of electric and gas in not a jok.	Increasing the prices of electricity and gas is not a joke with people?	-48.3969	-56.4412	-81.5021	-36.0623	-45.3607	-53.7071	-82.9859	-31.7666
urd-wl-86-174276-11370254-post1__9	مسائل کے حل کی طرف توجہ کیوں نہیں دی جا رہی ہے؟	Why is attention not being paid to solve the problems.	Why is attention not being given in resolving the issues?	Why did not pay attention to solve these problems.	Why the solutions of the problems are not considered?	-24.6332	-28.3579	-17.0659	-22.9245	-22.5532	-29.3314	-14.954	-24.6188
urd-wl-86-174276-11370254-post1__10	حکومت کو َملکی ترقی کا پہیہ جام ہوتا نظر نہیں آرہا ہے؟	Are the wheels of national development not seeming jammed to the government?	Can the government see the failing of the country's economy?	The government is not going to work for upwards.	Is government not seeing the full stop on national development?	-74.4907	-31.3662	-19.8246	-34.3237	-74.7874	-30.8092	-19.5374	-35.8956
urd-wl-86-174276-11370254-post1__11	اس بحران پر قابو پانے کیلئے آپ فوری طور کیا اقدامات تجویز کریں گے؟	What immediate steps can you suggest to gain control over this crisis?	To counter these problems for the short term, what suggestions do u have?	What will you suggest about the control this big problem.	What steps you will instantly recommend for managing this crisis?	-30.6494	-42.1628	-26.3861	-34.5484	-30.4444	-42.0633	-26.0044	-35.2062
urd-wl-86-174276-11370254-post1__12	اپنی رائے سے آگاہ کریں۔	Let us know of your opinions.	Please inform us about your opinion.	Aware me about your openion.	Let us know your opinion.	-14.8913	-15.257	-56.7352	-11.6837	-13.1503	-14.4008	-57.1822	-10.9323
urd-wl-86-174276-11370254-post8__1	-عمران کھوکر، مدینہ منورہ میں یہ کہنا چاہتا ہوں کہ جیسے لوگ ویسے ہی حکمراں۔	Imran Khokhar, Madina Munawwarah, I want to say that, as the people, the rulers.	Imran Khokar from Madina Munawara Saudi Arabia, I want to say the way the people are, they get similar leaders.	After the loss of Imram, that as there are people as there are commonders.	Imran Khokar from Madīnah Munawwarah, “I would like to say that rulers are a reflection of society’s morality.	-183.895	-203.391	-106.253	-272.517	-183.202	-202.788	-107.294	-272.331
urd-wl-86-174276-11370254-post8__2	مجھے حیرت ہے کہ عوامی حکومت کا نعرہ لگانی والی عوام ہی کو تکلیف دے رہی ہےب	I am surprised that they are giving difficulty to the public who called for a democratic government.	I am surprised that government carrying slogan of public service is itself hurting them.	I wonder those who shout slogans for an administration of the public create nuisance to the public.	I am surprised that a government claiming to be people’s friendly is unfriendly to the people.	-34.39	-40.9592	-46.6107	-77.815	-33.5393	-41.5461	-46.529	-75.4011
urd-wl-86-174276-11370254-post8__3	جلی گیس پٹرول کا نہیں ملنا ایک عذاب ہوگیا ہے	The unavailability of electricity, gas and petrol has become a torture.	unavailability of electricity, gas and petrol has become a persecution.	It is torture not to get jelly, petroleum and gas.	Non-Availability of electricity, gas and petrol has become a menace.	-31.6595	-33.2693	-66.6824	-31.2184	-32.274	-33.5618	-67.0475	-31.5109
urd-wl-86-174276-11370254-post8__4	حکومت کا اداروں پہ کوئی کنٹرول نہیں ہے	There is no control over government institutions.	Government has no control over the institutions.	Government departments have lost control.	The government does not have any control over the institutions.	-16.7943	-16.122	-17.2802	-18.924	-15.2978	-15.2723	-17.6985	-17.2416
urd-wl-86-174276-11370254-post8__5	لاء اینڈ آرڈر کی صورتحال روز بہ روز بگڑ رہی ہے اللہ اس ملک پہ اپنا رحم فرمائے	The law and order situation is getting worse, day to day. May Allah have mercy on this country.	Law and order situation is deteriorating every day, may Allah bestow his mercy on this country.	Law and order has been degenerated. May Allah show his mercy on this country of ours.	The law and order situation is worsening day by day. May Allah have mercy on the country.	-58.7474	-57.4023	-88.6559	-53.8807	-46.9103	-50.9278	-88.4495	-43.285
urd-wl-86-174276-11370255-post1__1	نئے سال کا آغازہوگیاہے۔	The New Year started.	new year has started.	A new year has begun.	It's beginning of a new year.	-12.208	-13.3714	-12.8343	-16.6961	-11.9686	-14.0643	-13.3172	-16.6606
urd-wl-86-174276-11370255-post1__2	گذشتہ سال ہنگامہ خیزیوں اور سیاسی نشیب و فراز کا سال تھا ، دہشت گردی کے حوالے سے بھی اسے یاد رکھا جائے گا۔	The previous year was a year of protests and political ups and downs. It will also be remembered for terrorism.	last year was the year of outbreaks and political ups and downs. it will also be remembered in reference to the terrorism.	Last year was a year of political turmoil and chaos. The year will be remembered for terrorism too.	Previous year was a year of fun and political tactics, it is also remembered by terrorism	-48.5653	-55.38	-47.9287	-48.6476	-43.0742	-48.5121	-47.2489	-49.4305
urd-wl-86-174276-11370255-post1__3	صدر مشرف کی اقتدار سے علیحدگی اور صدر بش کے آٹھ سالہ دور کا خاتمہ ، بش پر جوتوں کی بارش اور پاکستان میں جمہوری حکومت کا قیام، ناگہانی آفات ، بلوچستان میں زلزلہ، دنیا بھر میں مالیاتی بحران، کساد بازاری۔	The removal of President Musharraf from power, and President Bush's eight year regime coming to an end, Bush getting shoes thrown at and the establishment of a democratic government in Pakistan, sudden calamities, the earthquake of Balochistan, the global financial crisis and depression.	stepping down of President Musharf and the end of the eight years rule of president Bush, throwing of shoes on Bush and formation of democratic government in Pakistan, calamities, earthquake in Baluchistan, global financial slump and monopoly.	President Musharaf's stepping down from power, the end of President Bush's eight years' reign, the slinging of chappals to Bush, the rethroning of democracy in Pakistan,the unexpected disasters, the earthquake in Baloochistan, the financial melt down all over the world,the depression in the market	It was an end of president Musharraf and end of eight year reign of president Bush, rain of boots on bush and southern rule in Pakistan, Earthquake in Baluchistan, Downfall of economy throughout the world, Heavy marketings	-201.341	-186.287	-397.206	-152.016	-196.043	-187.829	-399.135	-156.137
urd-wl-86-174276-11370255-post1__4	اب نئے سال کی آمد ہے آپ آنے والے سال کو کس طرح دیکھتے ہیں؟	Now a new year has arrived, how do you see the new year?	new year is arriving, how do you foresee the new year?	The new year has set in. How do you feel now at the new year's arrival?	Its the eve of new how you see the previous year?	-35.1673	-35.8326	-80.8568	-32.794	-33.4738	-35.9173	-80.4774	-32.0917
urd-wl-86-174276-11370255-post1__5	آپ کے نزدیک سیاسی یا جغرافیائی صورتحال کیا رنگ لائے گی اوبامہ کی حکمت عملی کیا ہوگی؟	According to you, what color will the political and geographic scenario take, and what wise steps will Obama implement?	in your opinion, what will be the result of the political or geographical situation. what will be the Obama's strategy?	In your opinion, What colour will the political and geographical situations in the country take? What tricks will Obama adopt?	From your what will be the political and geographical conditions what will be the policy of Obama?	-139.113	-86.678	-101.676	-78.5533	-140.227	-86.7066	-99.3452	-76.5909
urd-wl-86-174276-11370255-post1__6	کیا دہشت گردی کے خاتمے میں کسی پیش رفت کی امید ہے؟	Is there any hope of moving towards eradication of terrorism?	is there a hope of a development towards eliminating terrorism.	Is it possible to predict an end to the threatening terrorism?	Is there any fast results in end of terrorism?	-28.0031	-28.8225	-29.4699	-27.5356	-24.3888	-22.3178	-25.5098	-25.7087
urd-wl-86-174276-11370255-post1__7	کیا پاکستان میں عدالتی بحران ختم ہوجائے گا؟	will the judicial crisis in Pakistan come to an end?	Is the judicial crisis of Pakistan will finish?	Will the judicial crisis in Pakistan come to an end?	Will Pakistani courts end?	-28.7902	-62.5055	-28.7902	-20.9068	-25.1456	-62.7663	-25.1456	-21.7772
urd-wl-86-174276-11370255-post1__8	پاک بھارت تعلقات کیا رخ اختیار کریں گے؟	what direction will the Indo-Pak relation take?	What shape Pakistan and India relationship will adopt?	What turn will the Indo-Pak relations take?	what will be the relations between Indo - pak?	-62.4396	-30.5859	-62.546	-95.8404	-63.052	-27.6797	-63.1785	-95.9177
